Timestamp,P1,P2,P3
2010-12-22 00:00:00+01:00,134,75,35
2010-12-22 00:00:01+01:00,138,75,35
2010-12-22 00:00:02+01:00,139,75,35
2010-12-22 00:00:03+01:00,134,75,35
2010-12-22 00:00:04+01:00,134,75,35
2010-12-22 00:00:05+01:00,134,75,35
2010-12-22 00:00:06+01:00,137,75,35
2010-12-22 00:00:07+01:00,139,75,35
2010-12-22 00:00:08+01:00,139,75,35
2010-12-22 00:00:09+01:00,139,75,35
2010-12-22 00:00:10+01:00,139,75,35
2010-12-22 00:00:11+01:00,139,75,35
2010-12-22 00:00:12+01:00,139,75,35
2010-12-22 00:00:13+01:00,136,75,35
2010-12-22 00:00:14+01:00,134,75,35
2010-12-22 00:00:15+01:00,138,75,35
2010-12-22 00:00:16+01:00,139,75,35
2010-12-22 00:00:17+01:00,134,75,35
2010-12-22 00:00:18+01:00,134,75,35
2010-12-22 00:00:19+01:00,133,75,35
2010-12-22 00:00:20+01:00,136,75,35
2010-12-22 00:00:21+01:00,139,75,35
2010-12-22 00:00:22+01:00,138,75,35
2010-12-22 00:00:23+01:00,138,75,35
2010-12-22 00:00:24+01:00,138,75,35
2010-12-22 00:00:25+01:00,138,75,35
2010-12-22 00:00:26+01:00,138,75,35
2010-12-22 00:00:27+01:00,136,75,35
2010-12-22 00:00:28+01:00,133,75,35
2010-12-22 00:00:29+01:00,137,75,35
2010-12-22 00:00:30+01:00,138,75,35
2010-12-22 00:00:31+01:00,134,75,35
2010-12-22 00:00:32+01:00,133,75,35
2010-12-22 00:00:33+01:00,133,75,35
2010-12-22 00:00:34+01:00,133,75,35
2010-12-22 00:00:35+01:00,133,75,35
2010-12-22 00:00:36+01:00,133,75,35
2010-12-22 00:00:37+01:00,133,75,35
2010-12-22 00:00:38+01:00,133,75,35
2010-12-22 00:00:39+01:00,133,75,35
2010-12-22 00:00:40+01:00,133,75,35
2010-12-22 00:00:41+01:00,133,75,35
2010-12-22 00:00:42+01:00,133,75,35
2010-12-22 00:00:43+01:00,136,75,35
2010-12-22 00:00:44+01:00,138,75,35
2010-12-22 00:00:45+01:00,134,75,35
2010-12-22 00:00:46+01:00,133,75,35
2010-12-22 00:00:47+01:00,133,75,35
2010-12-22 00:00:48+01:00,135,75,35
2010-12-22 00:00:49+01:00,138,75,35
2010-12-22 00:00:50+01:00,138,75,35
2010-12-22 00:00:51+01:00,138,75,35
2010-12-22 00:00:52+01:00,138,75,35
2010-12-22 00:00:53+01:00,138,75,35
2010-12-22 00:00:54+01:00,138,75,35
2010-12-22 00:00:55+01:00,136,75,35
2010-12-22 00:00:56+01:00,133,75,35
2010-12-22 00:00:57+01:00,136,75,35
2010-12-22 00:00:58+01:00,138,75,35
2010-12-22 00:00:59+01:00,134,75,35
2010-12-22 00:01:00+01:00,133,75,35
2010-12-22 00:01:01+01:00,133,75,35
2010-12-22 00:01:02+01:00,133,75,35
2010-12-22 00:01:03+01:00,133,75,35
2010-12-22 00:01:04+01:00,132,75,35
2010-12-22 00:01:05+01:00,132,75,35
2010-12-22 00:01:06+01:00,136,75,35
2010-12-22 00:01:07+01:00,138,75,35
2010-12-22 00:01:08+01:00,138,75,35
2010-12-22 00:01:09+01:00,136,75,35
2010-12-22 00:01:10+01:00,132,75,35
2010-12-22 00:01:11+01:00,135,75,35
2010-12-22 00:01:12+01:00,138,75,35
2010-12-22 00:01:13+01:00,138,75,35
2010-12-22 00:01:14+01:00,138,75,35
2010-12-22 00:01:15+01:00,138,75,35
2010-12-22 00:01:16+01:00,138,75,35
2010-12-22 00:01:17+01:00,137,75,35
2010-12-22 00:01:18+01:00,137,75,35
2010-12-22 00:01:19+01:00,137,75,35
2010-12-22 00:01:20+01:00,134,75,35
2010-12-22 00:01:21+01:00,132,75,35
2010-12-22 00:01:22+01:00,132,75,35
2010-12-22 00:01:23+01:00,132,75,35
2010-12-22 00:01:24+01:00,132,75,35
2010-12-22 00:01:25+01:00,135,75,35
2010-12-22 00:01:26+01:00,138,75,35
2010-12-22 00:01:27+01:00,134,75,35
2010-12-22 00:01:28+01:00,132,75,35
2010-12-22 00:01:29+01:00,132,75,35
2010-12-22 00:01:30+01:00,132,75,35
2010-12-22 00:01:31+01:00,132,75,35
2010-12-22 00:01:32+01:00,132,75,35
2010-12-22 00:01:33+01:00,132,75,35
2010-12-22 00:01:34+01:00,132,75,35
2010-12-22 00:01:35+01:00,132,75,35
2010-12-22 00:01:36+01:00,132,75,35
2010-12-22 00:01:37+01:00,132,75,35
2010-12-22 00:01:38+01:00,132,75,35
2010-12-22 00:01:39+01:00,134,75,35
2010-12-22 00:01:40+01:00,137,75,35
2010-12-22 00:01:41+01:00,134,75,35
