Timestamp,P1,P2,P3
2010-12-19 06:00:00+01:00,160,70,79
2010-12-19 06:00:01+01:00,160,70,79
2010-12-19 06:00:02+01:00,160,70,79
2010-12-19 06:00:03+01:00,160,70,78
2010-12-19 06:00:04+01:00,160,70,79
2010-12-19 06:00:05+01:00,160,70,79
2010-12-19 06:00:06+01:00,160,70,79
2010-12-19 06:00:07+01:00,160,70,79
2010-12-19 06:00:08+01:00,160,70,79
2010-12-19 06:00:09+01:00,160,70,79
2010-12-19 06:00:10+01:00,160,70,79
2010-12-19 06:00:11+01:00,160,70,79
2010-12-19 06:00:12+01:00,160,70,78
2010-12-19 06:00:13+01:00,160,70,79
2010-12-19 06:00:14+01:00,160,70,79
2010-12-19 06:00:15+01:00,160,70,79
2010-12-19 06:00:16+01:00,160,70,79
2010-12-19 06:00:17+01:00,160,70,79
2010-12-19 06:00:18+01:00,160,70,79
2010-12-19 06:00:19+01:00,159,70,79
2010-12-19 06:00:20+01:00,159,70,79
2010-12-19 06:00:21+01:00,159,70,79
2010-12-19 06:00:22+01:00,159,70,79
2010-12-19 06:00:23+01:00,159,70,79
2010-12-19 06:00:24+01:00,160,70,79
2010-12-19 06:00:25+01:00,160,70,79
2010-12-19 06:00:26+01:00,160,70,79
2010-12-19 06:00:27+01:00,160,70,79
2010-12-19 06:00:28+01:00,160,70,79
2010-12-19 06:00:29+01:00,159,70,79
2010-12-19 06:00:30+01:00,159,70,79
2010-12-19 06:00:31+01:00,160,70,79
2010-12-19 06:00:32+01:00,160,70,79
2010-12-19 06:00:33+01:00,160,70,79
2010-12-19 06:00:34+01:00,160,70,78
2010-12-19 06:00:35+01:00,160,70,79
2010-12-19 06:00:36+01:00,160,70,79
2010-12-19 06:00:37+01:00,159,70,79
2010-12-19 06:00:38+01:00,159,70,79
2010-12-19 06:00:39+01:00,159,70,79
2010-12-19 06:00:40+01:00,159,70,79
2010-12-19 06:00:41+01:00,159,70,79
2010-12-19 06:00:42+01:00,159,70,79
2010-12-19 06:00:43+01:00,159,70,79
2010-12-19 06:00:44+01:00,159,70,79
2010-12-19 06:00:45+01:00,159,70,79
2010-12-19 06:00:46+01:00,159,70,79
2010-12-19 06:00:47+01:00,159,70,79
2010-12-19 06:00:48+01:00,159,70,79
2010-12-19 06:00:49+01:00,159,70,79
2010-12-19 06:00:50+01:00,159,70,79
2010-12-19 06:00:51+01:00,159,70,80
2010-12-19 06:00:52+01:00,159,70,79
2010-12-19 06:00:53+01:00,159,70,79
2010-12-19 06:00:54+01:00,159,70,79
2010-12-19 06:00:55+01:00,159,70,79
2010-12-19 06:00:56+01:00,159,70,79
2010-12-19 06:00:57+01:00,159,70,79
2010-12-19 06:00:58+01:00,159,70,79
2010-12-19 06:00:59+01:00,36,378,67
2010-12-19 06:01:00+01:00,36,376,67
2010-12-19 06:01:01+01:00,36,376,67
2010-12-19 06:01:02+01:00,36,378,67
2010-12-19 06:01:03+01:00,36,378,67
2010-12-19 06:01:04+01:00,36,376,67
2010-12-19 06:01:05+01:00,36,376,70
2010-12-19 06:01:06+01:00,36,376,72
2010-12-19 06:01:07+01:00,36,375,68
2010-12-19 06:01:08+01:00,36,375,67
2010-12-19 06:01:09+01:00,36,376,67
2010-12-19 06:01:10+01:00,37,378,67
2010-12-19 06:01:11+01:00,36,378,67
2010-12-19 06:01:12+01:00,36,377,67
2010-12-19 06:01:13+01:00,36,378,67
2010-12-19 06:01:14+01:00,36,377,67
2010-12-19 06:01:15+01:00,36,376,67
2010-12-19 06:01:16+01:00,36,380,67
2010-12-19 06:01:17+01:00,36,382,67
2010-12-19 06:01:18+01:00,36,381,67
2010-12-19 06:01:19+01:00,36,382,70
2010-12-19 06:01:20+01:00,36,380,72
2010-12-19 06:01:21+01:00,36,380,69
2010-12-19 06:01:22+01:00,36,380,67
2010-12-19 06:01:23+01:00,36,380,67
2010-12-19 06:01:24+01:00,36,379,67
2010-12-19 06:01:25+01:00,36,381,67
2010-12-19 06:01:26+01:00,36,384,67
2010-12-19 06:01:27+01:00,36,380,67
2010-12-19 06:01:28+01:00,36,381,67
2010-12-19 06:01:29+01:00,36,381,67
2010-12-19 06:01:30+01:00,36,382,67
2010-12-19 06:01:31+01:00,37,382,67
2010-12-19 06:01:32+01:00,36,382,67
2010-12-19 06:01:33+01:00,36,382,69
2010-12-19 06:01:34+01:00,36,382,72
2010-12-19 06:01:35+01:00,36,382,69
2010-12-19 06:01:36+01:00,36,382,67
2010-12-19 06:01:37+01:00,36,382,67
2010-12-19 06:01:38+01:00,36,381,67
2010-12-19 06:01:39+01:00,36,380,67
2010-12-19 06:01:40+01:00,36,380,67
2010-12-19 06:01:41+01:00,36,380,67
2010-12-19 06:01:42+01:00,36,380,67
2010-12-19 06:01:43+01:00,36,379,67
2010-12-19 06:01:44+01:00,36,380,67
2010-12-19 06:01:45+01:00,36,379,67
2010-12-19 06:01:46+01:00,36,379,67
2010-12-19 06:01:47+01:00,36,381,69
2010-12-19 06:01:48+01:00,36,381,72
2010-12-19 06:01:49+01:00,36,380,69
2010-12-19 06:01:50+01:00,36,381,67
2010-12-19 06:01:51+01:00,36,381,67
2010-12-19 06:01:52+01:00,36,381,67
2010-12-19 06:01:53+01:00,36,380,67
2010-12-19 06:01:54+01:00,36,381,67
2010-12-19 06:01:55+01:00,36,380,67
2010-12-19 06:01:56+01:00,36,381,67
2010-12-19 06:01:57+01:00,36,381,67
2010-12-19 06:01:58+01:00,36,381,67
2010-12-19 06:01:59+01:00,36,380,67
2010-12-19 06:02:00+01:00,36,380,67
2010-12-19 06:02:01+01:00,36,380,69
2010-12-19 06:02:02+01:00,36,380,72
2010-12-19 06:02:03+01:00,36,379,69
2010-12-19 06:02:04+01:00,36,379,67
2010-12-19 06:02:05+01:00,36,379,67
2010-12-19 06:02:06+01:00,36,380,67
2010-12-19 06:02:07+01:00,36,380,67
2010-12-19 06:02:08+01:00,36,380,67
2010-12-19 06:02:09+01:00,36,379,67
2010-12-19 06:02:10+01:00,36,379,67
2010-12-19 06:02:11+01:00,36,381,67
2010-12-19 06:02:12+01:00,37,382,67
2010-12-19 06:02:13+01:00,37,382,67
2010-12-19 06:02:14+01:00,37,382,67
2010-12-19 06:02:15+01:00,37,382,69
